F_Lift,F_Drag,Windspeed,Angle,Cl,Cd
8.56,0.61,28.1,1,1.065,0.076
8.53,0.6,28.16,1,1.057,0.074
8.53,0.6,28.16,1,1.057,0.074
8.5,0.6,28.1,1,1.058,0.075
8.5,0.6,28.07,1,1.06,0.075
6.17,0.49,27.6,1.1,0.79,0.06
6.16,0.49,27.6,1.1,0.79,0.06
6.16,0.49,27.6,1.1,0.79,0.06
6.16,0.48,27.51,1.1,0.79,0.06
6.16,0.48,27.54,1.1,0.79,0.06
6.16,0.48,27.6,1.1,0.79,0.06
6.16,0.48,27.6,1.1,0.79,0.06
6.16,0.48,27.66,1.1,0.78,0.06
6.17,0.49,27.75,1.1,0.78,0.06
6.18,0.48,27.66,1.1,0.79,0.06
6.2,0.48,27.63,1.1,0.79,0.06
6.2,0.48,27.69,1.1,0.79,0.06
6.2,0.48,27.75,1.1,0.78,0.06
6.19,0.48,27.69,1.1,0.79,0.06
6.17,0.48,27.72,1.1,0.78,0.06
6.17,0.48,27.75,1.1,0.78,0.06
6.15,0.48,27.78,1.1,0.78,0.06
6.15,0.48,27.81,1.1,0.77,0.06
6.15,0.48,27.87,1.1,0.77,0.06
6.15,0.48,27.87,1.1,0.77,0.06
9.53,0.67,27.98,2,1.196,0.084
9.57,0.67,27.92,2,1.206,0.084
9.56,0.67,28.04,2,1.195,0.084
9.55,0.67,27.86,2,1.209,0.085
9.55,0.67,27.89,2,1.206,0.085
9.54,0.67,27.89,2,1.205,0.085
9.52,0.67,27.8,2,1.21,0.085
9.52,0.67,27.8,2,1.21,0.085
9.52,0.67,27.92,2,1.2,0.084
9.54,0.67,27.77,2,1.216,0.085
9.53,0.67,27.74,2,1.217,0.086
9.53,0.67,27.95,2,1.199,0.084
9.53,0.67,27.95,2,1.199,0.084
9.52,0.68,27.92,2,1.2,0.086
9.54,0.68,27.83,2,1.21,0.086
9.57,0.68,27.89,2,1.209,0.086
9.57,0.68,27.83,2,1.214,0.086
9.56,0.68,27.86,2,1.21,0.086
9.53,0.68,27.98,2,1.196,0.085
9.49,0.68,28.13,2,1.178,0.084
7.06,0.54,27.84,2.1,0.89,0.07
7.06,0.54,27.78,2.1,0.89,0.07
7.05,0.54,27.78,2.1,0.89,0.07
7.06,0.54,28.02,2.1,0.88,0.07
7.06,0.54,27.93,2.1,0.88,0.07
7.06,0.54,27.72,2.1,0.9,0.07
7.06,0.54,27.63,2.1,0.9,0.07
7.06,0.54,27.69,2.1,0.9,0.07
7.06,0.54,27.72,2.1,0.9,0.07
7.06,0.54,27.78,2.1,0.89,0.07
7.06,0.54,27.93,2.1,0.88,0.07
7.03,0.54,27.9,2.1,0.88,0.07
7.01,0.53,27.9,2.1,0.88,0.07
7.01,0.53,28.05,2.1,0.87,0.07
7.02,0.53,28.14,2.1,0.86,0.07
7.02,0.53,28.02,2.1,0.87,0.07
7.03,0.53,27.93,2.1,0.88,0.07
7.03,0.54,27.9,2.1,0.88,0.07
7.03,0.53,27.93,2.1,0.88,0.07
7.05,0.53,27.96,2.1,0.88,0.07
7.7,0.59,27.72,3,0.98,0.07
7.72,0.59,28.11,3,0.95,0.07
7.73,0.59,27.87,3,0.97,0.07
7.73,0.58,27.81,3,0.97,0.07
7.73,0.58,27.9,3,0.97,0.07
7.74,0.58,27.87,3,0.97,0.07
7.75,0.58,27.84,3,0.97,0.07
7.75,0.58,27.87,3,0.97,0.07
7.76,0.58,27.84,3,0.98,0.07
7.76,0.58,27.9,3,0.97,0.07
7.76,0.58,27.87,3,0.97,0.07
7.76,0.59,27.78,3,0.98,0.07
7.77,0.58,27.72,3,0.99,0.07
7.77,0.58,27.75,3,0.98,0.07
7.77,0.58,27.84,3,0.98,0.07
7.77,0.59,27.81,3,0.98,0.07
7.78,0.59,27.69,3,0.99,0.07
7.78,0.59,27.72,3,0.99,0.07
7.78,0.59,27.75,3,0.98,0.07
7.78,0.58,27.75,3,0.98,0.07
10.55,0.75,28.31,3,1.293,0.092
10.55,0.75,28.34,3,1.291,0.092
10.53,0.75,28.37,3,1.285,0.092
10.51,0.75,28.31,3,1.288,0.092
10.51,0.75,28.37,3,1.283,0.092
10.51,0.75,28.37,3,1.283,0.092
10.52,0.75,28.31,3,1.29,0.092
10.51,0.75,28.25,3,1.294,0.092
10.51,0.75,28.31,3,1.288,0.092
10.52,0.75,28.22,3,1.298,0.093
10.51,0.75,28.1,3,1.308,0.093
10.5,0.75,28.22,3,1.295,0.093
10.5,0.75,28.19,3,1.298,0.093
10.52,0.75,28.07,3,1.312,0.094
10.54,0.75,28.07,3,1.314,0.094
10.56,0.75,28.19,3,1.306,0.093
10.56,0.75,28.04,3,1.32,0.094
10.55,0.75,28.07,3,1.316,0.094
10.57,0.75,28.22,3,1.304,0.093
10.58,0.75,28.4,3,1.289,0.091
8.51,0.66,27.6,4,1.09,0.08
8.49,0.65,27.75,4,1.07,0.08
8.47,0.64,27.87,4,1.06,0.08
8.46,0.64,27.84,4,1.06,0.08
8.45,0.64,27.84,4,1.06,0.08
8.45,0.64,27.9,4,1.06,0.08
8.43,0.64,27.84,4,1.06,0.08
8.43,0.64,27.87,4,1.06,0.08
8.42,0.64,27.99,4,1.05,0.08
8.42,0.64,27.93,4,1.05,0.08
8.45,0.64,27.96,4,1.05,0.08
8.46,0.64,27.93,4,1.06,0.08
8.49,0.64,27.9,4,1.06,0.08
8.49,0.64,27.84,4,1.07,0.08
8.53,0.64,27.78,4,1.08,0.08
8.55,0.64,27.81,4,1.08,0.08
8.57,0.64,27.81,4,1.08,0.08
8.57,0.64,27.87,4,1.07,0.08
8.57,0.64,27.84,4,1.08,0.08
8.58,0.64,27.87,4,1.08,0.08
11.29,0.81,28.16,4,1.399,0.1
11.29,0.82,28.07,4,1.408,0.102
11.27,0.82,28.1,4,1.402,0.102
11.27,0.82,28.07,4,1.405,0.102
11.25,0.82,28.22,4,1.388,0.101
11.25,0.82,28.22,4,1.388,0.101
11.23,0.82,28.13,4,1.394,0.102
11.23,0.82,28.13,4,1.394,0.102
11.21,0.81,28.1,4,1.395,0.101
11.2,0.81,28.13,4,1.391,0.101
11.22,0.81,28.1,4,1.396,0.101
11.22,0.81,28.19,4,1.387,0.1
11.22,0.81,28.25,4,1.381,0.1
11.23,0.81,28.16,4,1.391,0.1
11.23,0.81,28.1,4,1.397,0.101
11.2,0.81,28.19,4,1.385,0.1
11.2,0.81,28.22,4,1.382,0.1
11.18,0.81,28.19,4,1.382,0.1
11.18,0.81,28.25,4,1.376,0.1
11.16,0.81,28.37,4,1.362,0.099
11.84,0.88,28.04,5,1.48,0.11
11.84,0.88,28.22,5,1.461,0.109
11.84,0.88,28.28,5,1.455,0.108
11.84,0.88,28.13,5,1.47,0.109
11.84,0.88,28.25,5,1.458,0.108
11.84,0.88,28.19,5,1.464,0.109
11.8,0.88,28.25,5,1.453,0.108
11.77,0.88,28.28,5,1.446,0.108
11.77,0.88,28.16,5,1.458,0.109
11.79,0.88,28.25,5,1.452,0.108
11.83,0.88,28.1,5,1.472,0.11
11.86,0.88,28.01,5,1.485,0.11
11.86,0.88,28.01,5,1.485,0.11
11.86,0.88,28.04,5,1.482,0.11
11.87,0.88,27.95,5,1.493,0.111
11.88,0.88,28.07,5,1.481,0.11
11.88,0.88,28.13,5,1.475,0.109
11.85,0.88,28.13,5,1.471,0.109
11.81,0.88,28.31,5,1.448,0.108
11.8,0.88,28.34,5,1.444,0.108
9.36,0.72,27.78,5.1,1.18,0.09
9.38,0.71,27.78,5.1,1.18,0.09
9.38,0.7,27.81,5.1,1.18,0.09
9.37,0.7,27.87,5.1,1.18,0.09
9.36,0.69,27.81,5.1,1.18,0.09
9.35,0.69,27.81,5.1,1.18,0.09
9.35,0.69,27.78,5.1,1.18,0.09
9.36,0.69,27.93,5.1,1.17,0.09
9.37,0.69,27.99,5.1,1.17,0.09
9.35,0.69,27.93,5.1,1.17,0.09
9.35,0.69,27.81,5.1,1.18,0.09
9.34,0.69,27.87,5.1,1.17,0.09
9.34,0.69,27.93,5.1,1.17,0.09
9.34,0.69,27.84,5.1,1.17,0.09
9.34,0.69,27.78,5.1,1.18,0.09
9.34,0.69,27.87,5.1,1.17,0.09
9.35,0.69,27.93,5.1,1.17,0.09
9.35,0.69,27.87,5.1,1.17,0.09
9.35,0.69,27.84,5.1,1.18,0.09
9.35,0.69,27.75,5.1,1.18,0.09
10.05,0.76,27.84,6,1.26,0.1
10.01,0.75,27.75,6,1.27,0.09
9.99,0.75,27.87,6,1.25,0.09
9.99,0.76,27.99,6,1.24,0.09
9.99,0.76,27.93,6,1.25,0.09
9.98,0.76,27.72,6,1.27,0.1
9.98,0.76,27.72,6,1.27,0.1
9.98,0.75,27.99,6,1.24,0.09
9.96,0.75,27.93,6,1.24,0.09
9.94,0.75,27.78,6,1.25,0.09
9.94,0.75,27.78,6,1.25,0.09
9.94,0.75,27.87,6,1.25,0.09
9.96,0.75,27.93,6,1.24,0.09
9.98,0.75,27.9,6,1.25,0.09
10,0.75,27.93,6,1.25,0.09
10,0.75,27.99,6,1.24,0.09
10.02,0.75,27.96,6,1.25,0.09
10.04,0.75,27.96,6,1.25,0.09
10.05,0.75,27.93,6,1.26,0.09
10.05,0.75,28.05,6,1.24,0.09
12.39,0.94,28.31,6,1.519,0.115
12.39,0.94,28.1,6,1.542,0.117
12.39,0.94,27.71,6,1.585,0.12
12.4,0.95,27.83,6,1.573,0.121
12.41,0.95,28.1,6,1.544,0.118
12.41,0.95,28.1,6,1.544,0.118
12.46,0.95,28.31,6,1.528,0.116
12.46,0.95,28.25,6,1.534,0.117
12.46,0.95,28.01,6,1.56,0.119
12.46,0.95,28.04,6,1.557,0.119
12.44,0.95,28.1,6,1.548,0.118
12.43,0.95,28.22,6,1.534,0.117
12.42,0.95,28.25,6,1.529,0.117
12.42,0.95,28.16,6,1.539,0.118
12.44,0.95,27.92,6,1.568,0.12
12.44,0.95,28.07,6,1.551,0.118
12.44,0.95,28.13,6,1.545,0.118
12.44,0.95,28.1,6,1.548,0.118
12.43,0.95,28.1,6,1.547,0.118
12.42,0.95,28.16,6,1.539,0.118
13.1,1.02,28.34,7,1.603,0.125
13.09,1.03,27.95,7,1.646,0.13
13.09,1.03,27.95,7,1.646,0.13
13.06,1.03,27.98,7,1.639,0.129
13.04,1.04,28.01,7,1.633,0.13
13.02,1.04,28.01,7,1.631,0.13
13.02,1.04,27.83,7,1.652,0.132
13.02,1.04,27.74,7,1.662,0.133
13.04,1.04,27.86,7,1.651,0.132
13.05,1.04,27.98,7,1.638,0.131
13.05,1.03,28.13,7,1.62,0.128
13.04,1.03,28.07,7,1.626,0.128
13.03,1.03,27.98,7,1.635,0.129
13.03,1.03,27.92,7,1.642,0.13
13,1.03,27.98,7,1.632,0.129
12.98,1.03,27.89,7,1.64,0.13
12.98,1.03,27.71,7,1.661,0.132
12.98,1.03,27.92,7,1.636,0.13
12.99,1.03,27.98,7,1.63,0.129
12.99,1.03,27.89,7,1.641,0.13
10.84,0.83,27.9,7.2,1.36,0.1
10.83,0.83,27.9,7.2,1.36,0.1
10.81,0.83,27.93,7.2,1.35,0.1
10.8,0.83,27.9,7.2,1.35,0.1
10.83,0.83,27.84,7.2,1.36,0.1
10.83,0.83,27.84,7.2,1.36,0.1
10.84,0.83,27.84,7.2,1.36,0.1
10.84,0.83,27.84,7.2,1.36,0.1
10.85,0.83,27.93,7.2,1.36,0.1
10.85,0.83,27.87,7.2,1.36,0.1
10.86,0.83,27.87,7.2,1.36,0.1
10.84,0.83,27.81,7.2,1.37,0.1
10.83,0.83,27.81,7.2,1.36,0.1
10.83,0.83,27.84,7.2,1.36,0.1
10.86,0.83,27.99,7.2,1.35,0.1
10.89,0.83,28.05,7.2,1.35,0.1
10.86,0.83,27.96,7.2,1.35,0.1
10.86,0.83,27.9,7.2,1.36,0.1
10.85,0.83,27.84,7.2,1.36,0.1
10.84,0.83,27.93,7.2,1.35,0.1
11.45,0.91,27.87,8.1,1.44,0.11
11.47,0.9,27.75,8.1,1.45,0.11
11.47,0.9,27.75,8.1,1.45,0.11
11.47,0.9,27.69,8.1,1.46,0.11
11.44,0.9,27.66,8.1,1.46,0.11
11.42,0.9,27.78,8.1,1.44,0.11
11.41,0.9,27.81,8.1,1.44,0.11
11.41,0.9,27.9,8.1,1.43,0.11
11.38,0.9,27.93,8.1,1.42,0.11
11.39,0.9,27.84,8.1,1.43,0.11
11.39,0.9,27.93,8.1,1.42,0.11
11.4,0.9,27.93,8.1,1.42,0.11
11.4,0.9,27.93,8.1,1.42,0.11
11.4,0.9,27.99,8.1,1.42,0.11
11.4,0.9,27.9,8.1,1.43,0.11
11.38,0.9,27.9,8.1,1.42,0.11
11.41,0.9,27.9,8.1,1.43,0.11
11.42,0.9,27.9,8.1,1.43,0.11
11.42,0.9,27.93,8.1,1.43,0.11
11.43,0.9,27.93,8.1,1.43,0.11
13.49,1.12,28.22,8.1,1.664,0.138
13.47,1.11,28.07,8.1,1.68,0.138
13.47,1.12,27.98,8.1,1.691,0.141
13.49,1.12,27.92,8.1,1.7,0.141
13.49,1.12,28.07,8.1,1.682,0.14
13.5,1.12,28.16,8.1,1.673,0.139
13.5,1.12,28.01,8.1,1.691,0.14
13.51,1.12,27.95,8.1,1.699,0.141
13.51,1.12,28.13,8.1,1.678,0.139
13.5,1.12,28.19,8.1,1.669,0.138
13.48,1.12,28.19,8.1,1.667,0.138
13.49,1.12,28.19,8.1,1.668,0.138
13.49,1.12,28.04,8.1,1.686,0.14
13.49,1.12,28.13,8.1,1.675,0.139
13.47,1.12,28.07,8.1,1.68,0.14
13.47,1.12,28.1,8.1,1.676,0.139
13.47,1.12,28.07,8.1,1.68,0.14
13.48,1.12,28.01,8.1,1.688,0.14
13.52,1.13,27.92,8.1,1.704,0.142
13.53,1.13,28.01,8.1,1.694,0.142
11.94,0.96,27.81,9,1.5,0.12
11.94,0.96,27.93,9,1.49,0.12
11.94,0.96,27.96,9,1.49,0.12
11.95,0.96,27.84,9,1.5,0.12
11.95,0.95,27.84,9,1.5,0.12
11.96,0.95,27.81,9,1.51,0.12
11.97,0.96,27.81,9,1.51,0.12
11.99,0.96,27.81,9,1.51,0.12
11.99,0.96,27.84,9,1.51,0.12
11.99,0.96,27.78,9,1.51,0.12
12,0.96,27.72,9,1.52,0.12
11.99,0.96,27.72,9,1.52,0.12
11.99,0.96,27.72,9,1.52,0.12
12,0.96,27.75,9,1.52,0.12
12.01,0.96,27.9,9,1.5,0.12
12.01,0.96,27.9,9,1.5,0.12
12.01,0.96,27.87,9,1.51,0.12
12.01,0.96,27.93,9,1.5,0.12
12,0.96,27.96,9,1.5,0.12
11.98,0.96,27.87,9,1.5,0.12
13.78,1.2,28.07,9,1.718,0.15
13.81,1.2,27.77,9,1.76,0.153
13.81,1.2,27.98,9,1.733,0.151
13.83,1.2,28.16,9,1.714,0.149
13.83,1.19,28.04,9,1.728,0.149
13.8,1.19,28.04,9,1.725,0.149
13.79,1.19,28.1,9,1.716,0.148
13.8,1.19,28.13,9,1.714,0.148
13.8,1.19,28.1,9,1.717,0.148
13.83,1.19,28.13,9,1.717,0.148
13.84,1.19,27.98,9,1.737,0.149
13.81,1.19,27.92,9,1.741,0.15
13.81,1.19,28.01,9,1.73,0.149
13.8,1.19,27.98,9,1.732,0.149
13.81,1.19,27.98,9,1.733,0.149
13.78,1.19,28.13,9,1.711,0.148
13.78,1.19,28.07,9,1.718,0.148
13.77,1.19,28.13,9,1.71,0.148
13.76,1.19,28.1,9,1.712,0.148
13.76,1.19,28.1,9,1.712,0.148
12.58,1.05,27.96,10,1.57,0.13
12.62,1.05,27.93,10,1.58,0.13
12.62,1.05,28.05,10,1.56,0.13
12.61,1.05,27.9,10,1.58,0.13
12.62,1.05,27.81,10,1.59,0.13
12.63,1.05,27.93,10,1.58,0.13
12.63,1.05,27.99,10,1.57,0.13
12.66,1.05,27.93,10,1.58,0.13
12.69,1.05,27.87,10,1.59,0.13
12.72,1.05,27.93,10,1.59,0.13
12.72,1.05,28.05,10,1.58,0.13
12.7,1.05,28.08,10,1.57,0.13
12.65,1.05,28.08,10,1.56,0.13
12.66,1.05,28.08,10,1.56,0.13
12.66,1.05,28.08,10,1.56,0.13
12.66,1.05,28.11,10,1.56,0.13
12.64,1.05,28.02,10,1.57,0.13
12.62,1.05,27.99,10,1.57,0.13
12.62,1.05,27.93,10,1.58,0.13
12.61,1.05,27.96,10,1.57,0.13
14.42,1.33,28.19,10.1,1.783,0.164
14.45,1.33,28.37,10.1,1.764,0.162
14.45,1.33,28.22,10.1,1.783,0.164
14.47,1.33,28.22,10.1,1.785,0.164
14.46,1.33,28.37,10.1,1.765,0.162
14.46,1.33,28.37,10.1,1.765,0.162
14.46,1.33,28.31,10.1,1.773,0.163
14.45,1.33,28.34,10.1,1.768,0.163
14.46,1.33,28.34,10.1,1.769,0.163
14.47,1.33,28.25,10.1,1.782,0.164
14.47,1.33,28.19,10.1,1.789,0.164
14.47,1.33,28.22,10.1,1.785,0.164
14.44,1.33,28.31,10.1,1.77,0.163
14.42,1.33,28.28,10.1,1.772,0.163
14.42,1.33,28.4,10.1,1.757,0.162
14.4,1.32,28.19,10.1,1.78,0.163
14.41,1.32,28.1,10.1,1.793,0.164
14.37,1.32,28.22,10.1,1.773,0.163
14.37,1.32,28.34,10.1,1.758,0.161
14.32,1.32,28.37,10.1,1.748,0.161
13.2,1.14,28.14,11.1,1.62,0.14
13.19,1.14,28.08,11.1,1.63,0.14
13.19,1.14,28.14,11.1,1.62,0.14
13.19,1.14,28.05,11.1,1.63,0.14
13.2,1.14,28.05,11.1,1.63,0.14
13.21,1.14,28.02,11.1,1.64,0.14
13.2,1.14,27.93,11.1,1.65,0.14
13.2,1.14,27.84,11.1,1.66,0.14
13.21,1.13,28.02,11.1,1.64,0.14
13.22,1.13,28.08,11.1,1.63,0.14
13.19,1.13,28.08,11.1,1.63,0.14
13.19,1.13,27.96,11.1,1.64,0.14
13.15,1.13,28.08,11.1,1.62,0.14
13.13,1.13,28.05,11.1,1.63,0.14
13.15,1.13,27.99,11.1,1.64,0.14
13.15,1.13,27.9,11.1,1.65,0.14
13.16,1.13,27.96,11.1,1.64,0.14
13.17,1.13,28.08,11.1,1.63,0.14
13.19,1.13,28.08,11.1,1.63,0.14
13.19,1.13,27.93,11.1,1.65,0.14
14.8,1.43,28.07,11.1,1.846,0.178
14.75,1.43,28.19,11.1,1.824,0.177
14.75,1.43,28.28,11.1,1.812,0.176
14.75,1.43,28.28,11.1,1.812,0.176
14.72,1.43,28.19,11.1,1.82,0.177
14.68,1.42,28.16,11.1,1.819,0.176
14.68,1.42,28.25,11.1,1.807,0.175
14.66,1.42,28.28,11.1,1.801,0.174
14.65,1.42,28.25,11.1,1.804,0.175
14.66,1.43,28.31,11.1,1.797,0.175
14.66,1.43,28.22,11.1,1.809,0.176
14.71,1.43,28.13,11.1,1.827,0.178
14.74,1.43,27.98,11.1,1.85,0.179
14.76,1.43,28.01,11.1,1.848,0.179
14.76,1.43,28.22,11.1,1.821,0.176
14.78,1.44,28.28,11.1,1.816,0.177
14.79,1.44,28.07,11.1,1.844,0.18
14.76,1.43,27.95,11.1,1.856,0.18
14.76,1.44,27.98,11.1,1.852,0.181
14.75,1.43,28.16,11.1,1.828,0.177
13.26,1.19,28.02,12,1.65,0.15
13.32,1.19,28.05,12,1.65,0.15
13.32,1.19,28.08,12,1.65,0.15
13.33,1.19,28.05,12,1.65,0.15
13.33,1.19,27.93,12,1.66,0.15
13.33,1.2,27.84,12,1.68,0.15
13.33,1.19,27.93,12,1.66,0.15
13.34,1.19,27.84,12,1.68,0.15
13.33,1.19,27.81,12,1.68,0.15
13.33,1.19,27.87,12,1.67,0.15
13.33,1.19,27.75,12,1.69,0.15
13.33,1.19,27.78,12,1.68,0.15
13.34,1.19,27.96,12,1.66,0.15
13.34,1.19,27.9,12,1.67,0.15
13.34,1.19,27.93,12,1.67,0.15
13.34,1.19,27.99,12,1.66,0.15
13.34,1.19,27.99,12,1.66,0.15
13.36,1.19,27.99,12,1.66,0.15
13.36,1.19,27.99,12,1.66,0.15
13.36,1.2,28.05,12,1.65,0.15
15.02,1.53,28.28,12,1.845,0.188
14.94,1.54,28.31,12,1.832,0.189
14.9,1.54,28.37,12,1.819,0.188
14.84,1.54,28.37,12,1.812,0.188
14.84,1.54,28.25,12,1.827,0.19
14.83,1.55,28.37,12,1.81,0.189
14.82,1.54,28.4,12,1.805,0.188
14.82,1.54,28.55,12,1.786,0.186
14.82,1.54,28.49,12,1.794,0.186
14.81,1.55,28.34,12,1.812,0.19
14.83,1.54,28.19,12,1.834,0.19
14.84,1.54,28.13,12,1.843,0.191
14.84,1.54,28.22,12,1.831,0.19
14.85,1.54,28.22,12,1.832,0.19
14.9,1.55,28.19,12,1.842,0.192
14.9,1.55,28.25,12,1.834,0.191
14.9,1.55,28.22,12,1.838,0.191
14.91,1.55,28.1,12,1.855,0.193
14.92,1.55,28.04,12,1.865,0.194
14.91,1.55,27.89,12,1.883,0.196
15.01,1.7,28.43,13,1.825,0.207
15.01,1.7,28.52,13,1.813,0.205
15.02,1.71,28.49,13,1.818,0.207
15,1.71,28.46,13,1.82,0.207
15,1.71,28.4,13,1.827,0.208
15,1.7,28.4,13,1.827,0.207
14.97,1.71,28.4,13,1.824,0.208
15,1.7,28.43,13,1.823,0.207
15.01,1.7,28.31,13,1.84,0.208
15.01,1.7,28.22,13,1.852,0.21
15.03,1.71,28.28,13,1.847,0.21
15.06,1.71,28.19,13,1.862,0.211
15.08,1.71,28.1,13,1.876,0.213
15.08,1.71,28.07,13,1.881,0.213
15.08,1.71,28.13,13,1.872,0.212
15.08,1.71,28.04,13,1.885,0.214
15.08,1.71,27.98,13,1.893,0.215
15.08,1.71,28.19,13,1.865,0.211
15.07,1.71,28.31,13,1.848,0.21
15.09,1.71,28.16,13,1.87,0.212
13.59,1.29,27.9,13.1,1.7,0.16
13.59,1.29,27.9,13.1,1.7,0.16
13.62,1.29,27.99,13.1,1.69,0.16
13.64,1.29,27.81,13.1,1.72,0.16
13.63,1.29,27.81,13.1,1.72,0.16
13.63,1.29,27.66,13.1,1.74,0.16
13.64,1.29,27.66,13.1,1.74,0.16
13.64,1.29,27.72,13.1,1.73,0.16
13.65,1.29,27.81,13.1,1.72,0.16
13.65,1.29,27.81,13.1,1.72,0.16
13.67,1.29,27.9,13.1,1.71,0.16
13.67,1.29,27.99,13.1,1.7,0.16
13.69,1.29,27.93,13.1,1.71,0.16
13.69,1.29,27.93,13.1,1.71,0.16
13.71,1.29,27.93,13.1,1.71,0.16
13.71,1.29,27.93,13.1,1.71,0.16
13.67,1.29,27.93,13.1,1.71,0.16
13.67,1.29,27.87,13.1,1.71,0.16
13.66,1.29,27.75,13.1,1.73,0.16
13.68,1.29,27.81,13.1,1.72,0.16
15.1,1.84,28.1,14,1.879,0.229
15.08,1.84,28.04,14,1.885,0.23
15.08,1.84,28.16,14,1.869,0.228
15.05,1.84,28.25,14,1.853,0.227
15.05,1.85,28.13,14,1.869,0.23
15.03,1.84,28.01,14,1.882,0.23
15.01,1.85,28.01,14,1.88,0.232
15.01,1.85,27.98,14,1.884,0.232
15.01,1.85,27.95,14,1.888,0.233
15.02,1.85,28.13,14,1.865,0.23
15.03,1.85,28.19,14,1.858,0.229
15.07,1.85,28.1,14,1.875,0.23
15.07,1.85,28.01,14,1.887,0.232
15.08,1.85,28.19,14,1.865,0.229
15.11,1.85,28.22,14,1.864,0.228
15.11,1.85,28.19,14,1.868,0.229
15.11,1.84,28.31,14,1.852,0.226
15.07,1.84,28.31,14,1.848,0.226
15.07,1.83,28.1,14,1.875,0.228
15.05,1.83,28.28,14,1.849,0.225
13.96,1.41,27.84,14.2,1.75,0.18
13.94,1.41,27.93,14.2,1.74,0.18
13.92,1.42,27.9,14.2,1.74,0.18
13.94,1.42,27.87,14.2,1.75,0.18
13.94,1.42,27.75,14.2,1.76,0.18
13.96,1.42,27.75,14.2,1.77,0.18
13.94,1.42,27.84,14.2,1.75,0.18
13.93,1.42,27.9,14.2,1.74,0.18
13.93,1.42,27.9,14.2,1.74,0.18
13.94,1.41,27.87,14.2,1.75,0.18
13.94,1.41,27.84,14.2,1.75,0.18
13.93,1.41,27.84,14.2,1.75,0.18
13.93,1.41,27.81,14.2,1.75,0.18
